title,type,source,episodes,status,rating,score,scored_by,rank,popularity,members,favorites,year,season,has_year,has_season,genres,demographics
Mangaka-san to Assistant-san to The Animation Specials,Special,4-Koma Manga,6,Finished Airing,PG-13 - TEENS 13 OR OLDER,7.15,28102.0,3685,3250,54191,24,-1,Unknown,0,0,"Comedy, Ecchi",Seinen
ACCA: 13-ku Kansatsu-ka - Regards,Ova,Manga,1,Finished Airing,PG-13 - TEENS 13 OR OLDER,7.15,7630.0,3695,5393,18652,23,-1,Unknown,0,0,"Drama, Mystery",Seinen
Guin Saga,Tv,Light Novel,26,Finished Airing,PG-13 - TEENS 13 OR OLDER,7.15,16054.0,3720,3569,46025,132,2009,Spring,1,1,"Adventure, Fantasy",
Cyborg 009 (1979),Tv,Manga,50,Finished Airing,PG-13 - TEENS 13 OR OLDER,7.15,3885.0,3706,6352,12203,39,1979,Spring,1,1,"Action, Adventure, Sci-Fi",Shounen
B: The Beginning,Ona,Original,12,Finished Airing,R - 17+ (VIOLENCE & PROFANITY),7.15,182334.0,3705,720,362450,1422,-1,Unknown,0,0,"Action, Mystery, Suspense",
Mahou Shoujo Madoka★Magica: Concept Movie,Movie,Original,1,Finished Airing,PG-13 - TEENS 13 OR OLDER,7.15,11389.0,3685,4370,30682,56,-1,Unknown,0,0,"Drama, Suspense",
Aoharu x Kikanjuu,Tv,Manga,12,Finished Airing,PG-13 - TEENS 13 OR OLDER,7.15,104320.0,3699,1187,224752,1310,2015,Summer,1,1,Sports,Shounen
Doraemon Movie 03: Nobita no Daimakyou,Movie,Unknown,1,Finished Airing,PG - CHILDREN,7.15,4651.0,3709,7611,7823,3,-1,Unknown,0,0,Adventure,
Wan Jie Xian Zong 4th Season,Ona,Web Manga,48,Finished Airing,PG-13 - TEENS 13 OR OLDER,7.15,1167.0,3676,10944,2854,3,-1,Unknown,0,0,"Action, Fantasy, Romance",
Joukamachi no Dandelion,Tv,4-Koma Manga,12,Finished Airing,PG-13 - TEENS 13 OR OLDER,7.15,67696.0,3678,1430,181191,444,2015,Summer,1,1,Comedy,Seinen
Muumin,Tv,Book,65,Finished Airing,G - ALL AGES,7.15,2597.0,3689,7710,7570,49,1969,Fall,1,1,"Adventure, Fantasy, Slice of Life",
Fate/kaleid liner Prisma☆Illya 2wei Herz!,Tv,Manga,10,Finished Airing,PG-13 - TEENS 13 OR OLDER,7.15,77957.0,3712,1672,150380,246,2015,Summer,1,1,"Action, Comedy",
Area no Kishi,Tv,Manga,37,Finished Airing,PG-13 - TEENS 13 OR OLDER,7.15,36503.0,3703,2632,79488,228,2012,Winter,1,1,"Comedy, Sports",Shounen
Doraemon Movie 35: Nobita no Space Heroes,Movie,Unknown,1,Finished Airing,PG - CHILDREN,7.15,4117.0,3711,8077,6780,3,-1,Unknown,0,0,"Comedy, Sci-Fi","Kids, Shounen"
Kaze no Stigma,Tv,Light Novel,24,Finished Airing,PG-13 - TEENS 13 OR OLDER,7.15,242370.0,3684,529,467584,1971,2007,Spring,1,1,"Action, Romance, Supernatural",
Pumpkin Scissors,Tv,Manga,24,Finished Airing,R - 17+ (VIOLENCE & PROFANITY),7.15,18101.0,3697,3579,45831,141,2006,Fall,1,1,"Action, Comedy, Drama",Shounen
"Wake Up, Girls! Shichinin no Idol",Movie,Original,1,Finished Airing,PG-13 - TEENS 13 OR OLDER,7.15,13100.0,3677,4778,25161,20,-1,Unknown,0,0,Drama,
Ookami-san to Shichinin no Nakama-tachi,Tv,Light Novel,12,Finished Airing,PG-13 - TEENS 13 OR OLDER,7.15,132309.0,3689,924,285459,788,2010,Summer,1,1,"Comedy, Romance",
Rurouni Kenshin: Special Techniques,Special,Manga,1,Finished Airing,PG-13 - TEENS 13 OR OLDER,7.15,4299.0,3694,6199,12914,8,-1,Unknown,0,0,"Action, Comedy",Shounen
One Piece: Umi no Heso no Daibouken-hen,Tv Special,Manga,1,Finished Airing,PG-13 - TEENS 13 OR OLDER,7.15,20563.0,3688,3824,40820,24,-1,Unknown,0,0,"Action, Adventure, Fantasy",Shounen
Ushio to Tora,Ova,Manga,10,Finished Airing,PG-13 - TEENS 13 OR OLDER,7.15,5232.0,3675,5774,15534,40,-1,Unknown,0,0,"Action, Horror",Shounen
Cyborg Kuro-chan,Tv,Manga,66,Finished Airing,PG - CHILDREN,7.15,4898.0,3708,6822,10323,66,1999,Fall,1,1,"Comedy, Sci-Fi",
Aku no Hana,Tv,Manga,13,Finished Airing,R - 17+ (VIOLENCE & PROFANITY),7.15,83564.0,3697,1112,239409,3271,2013,Spring,1,1,"Drama, Romance, Suspense",Shounen
Dash! Kappei,Tv,Manga,65,Finished Airing,PG-13 - TEENS 13 OR OLDER,7.15,3005.0,3708,8404,6152,30,1981,Fall,1,1,"Comedy, Sports, Ecchi",Shounen
Mojakou,Tv,Manga,74,Finished Airing,G - ALL AGES,7.15,1748.0,3687,10544,3190,11,1995,Fall,1,1,"Comedy, Fantasy, Sci-Fi",
Galaxy Angel Z,Tv,Original,9,Finished Airing,PG - CHILDREN,7.15,5467.0,3716,6481,11627,12,2002,Winter,1,1,"Comedy, Sci-Fi",
Toaru Hikuushi e no Koiuta,Tv,Light Novel,13,Finished Airing,PG-13 - TEENS 13 OR OLDER,7.15,42200.0,3673,2226,103670,222,2014,Winter,1,1,"Adventure, Drama, Romance",
Gear Fighter Dendoh,Tv,Original,38,Finished Airing,PG - CHILDREN,7.15,1664.0,3713,9442,4488,18,2000,Fall,1,1,"Action, Adventure, Sci-Fi",
Black Jack: Futari no Kuroi Isha,Movie,Manga,1,Finished Airing,PG-13 - TEENS 13 OR OLDER,7.15,2379.0,3705,8623,5795,8,-1,Unknown,0,0,Drama,Shounen
Boogiepop wa Warawanai,Tv,Light Novel,12,Finished Airing,R+ - MILD NUDITY,7.15,36578.0,3704,1702,146724,1219,2000,Winter,1,1,"Avant Garde, Drama, Horror, Mystery, Supernatural, Suspense",
Kotoura-san,Tv,4-Koma Manga,12,Finished Airing,PG-13 - TEENS 13 OR OLDER,7.15,183986.0,3684,728,356881,1117,2013,Winter,1,1,"Comedy, Romance",
Shin Shirayuki-hime Densetsu Prétear,Tv,Manga,13,Finished Airing,PG-13 - TEENS 13 OR OLDER,7.15,29911.0,3666,2903,67255,454,2001,Spring,1,1,"Drama, Romance",Shoujo
Vandread,Tv,Original,13,Finished Airing,PG-13 - TEENS 13 OR OLDER,7.15,44966.0,3675,2464,88270,439,2000,Fall,1,1,"Action, Sci-Fi, Ecchi",
Ultra Maniac,Tv,Manga,26,Finished Airing,G - ALL AGES,7.15,14514.0,3672,4079,35566,143,2003,Spring,1,1,"Comedy, Fantasy, Romance",Shoujo
C: The Money of Soul and Possibility Control,Tv,Original,11,Finished Airing,PG-13 - TEENS 13 OR OLDER,7.15,152389.0,3709,798,329496,1339,2011,Spring,1,1,"Action, Mystery, Sci-Fi, Suspense",
Kai Byoui Ramune,Tv,Manga,12,Finished Airing,PG-13 - TEENS 13 OR OLDER,7.15,34616.0,3680,2467,88134,344,2021,Winter,1,1,"Mystery, Supernatural",Shounen
Tantei Opera Milky Holmes Movie: Gyakushuu no Milky Holmes,Movie,Original,1,Finished Airing,PG-13 - TEENS 13 OR OLDER,7.15,1919.0,3671,9038,5128,6,-1,Unknown,0,0,"Comedy, Mystery",
Hetalia Axis Powers Fan Disc,Ova,Web Manga,1,Finished Airing,PG-13 - TEENS 13 OR OLDER,7.15,5465.0,3721,6002,14052,19,-1,Unknown,0,0,Comedy,
Arifureta Shokugyou de Sekai Saikyou 2nd Season,Tv,Light Novel,12,Finished Airing,PG-13 - TEENS 13 OR OLDER,7.15,188542.0,3704,569,437760,4306,2022,Winter,1,1,"Action, Adventure, Fantasy",
Lupin the IIIrd: Zenigata to Futari no Lupin,Ona,Manga,1,Finished Airing,R - 17+ (VIOLENCE & PROFANITY),7.14,234.0,3778,11919,2141,4,-1,Unknown,0,0,"Action, Adventure, Comedy, Mystery",
Poketoon (2024),Ona,Game,9,Finished Airing,G - ALL AGES,7.14,582.0,3792,12043,2069,5,-1,Unknown,0,0,"Adventure, Comedy",Kids
Sentai Daishikkaku 2nd Season,Tv,Manga,12,Finished Airing,PG-13 - TEENS 13 OR OLDER,7.14,14577.0,3747,2983,63779,238,2025,Spring,1,1,"Action, Fantasy",Shounen
Arknights 2024 Special Commemorative Animation PV,Pv,Game,1,Finished Airing,PG-13 - TEENS 13 OR OLDER,7.14,403.0,99999,14635,981,3,-1,Unknown,0,0,"Action, Fantasy",
Fanpai Chushihua,Ona,Web Manga,16,Finished Airing,PG-13 - TEENS 13 OR OLDER,7.14,282.0,3736,14730,957,0,-1,Unknown,0,0,"Action, Sci-Fi",
Sorairo Utility (TV),Tv,Original,12,Finished Airing,PG-13 - TEENS 13 OR OLDER,7.14,6035.0,3755,5300,19583,50,2025,Winter,1,1,Sports,
Dan Dao Zhizun,Ona,Unknown,0,Currently Airing,PG-13 - TEENS 13 OR OLDER,7.14,309.0,3732,14304,1073,9,-1,Unknown,0,0,"Action, Adventure, Fantasy",
Suki na Ko ga Megane wo Wasureta,Tv,Manga,13,Finished Airing,PG-13 - TEENS 13 OR OLDER,7.14,85813.0,3755,1193,223473,1527,2023,Summer,1,1,"Comedy, Romance",Shounen
Aikatsu! 10th Story: Mirai e no Starway,Movie,Original,1,Finished Airing,PG - CHILDREN,7.14,361.0,3728,13587,1296,3,-1,Unknown,0,0,,
Palette,Music,Original,1,Finished Airing,G - ALL AGES,7.14,551.0,99999,14647,980,5,-1,Unknown,0,0,,
4-nin wa Sorezore Uso wo Tsuku,Tv,Manga,11,Finished Airing,PG-13 - TEENS 13 OR OLDER,7.14,15844.0,3724,3812,41083,136,2022,Fall,1,1,"Comedy, Sci-Fi",Shounen
Lv1 Maou to One Room Yuusha,Tv,Web Manga,12,Finished Airing,PG-13 - TEENS 13 OR OLDER,7.14,37525.0,3779,2442,89338,218,2023,Summer,1,1,"Comedy, Fantasy",
Namaiki: Kissuisou e Youkoso! The Animation,Ova,Visual Novel,1,Finished Airing,RX - HENTAI,7.14,6769.0,99999,5558,17290,106,-1,Unknown,0,0,Hentai,
Aniyome wa Ijippari,Ova,Visual Novel,2,Finished Airing,RX - HENTAI,7.14,10669.0,99999,4926,23332,187,-1,Unknown,0,0,Hentai,
Kirakira☆Precure A La Mode,Tv,Original,49,Finished Airing,G - ALL AGES,7.14,5543.0,3772,5789,15486,155,2017,Winter,1,1,"Action, Gourmet",
Planet With,Tv,Original,12,Finished Airing,PG-13 - TEENS 13 OR OLDER,7.14,24543.0,3790,3081,60203,147,2018,Summer,1,1,"Action, Sci-Fi",
Kyoukai no Rinne 2nd Season,Tv,Manga,25,Finished Airing,PG-13 - TEENS 13 OR OLDER,7.14,14341.0,3773,4028,36376,35,2016,Spring,1,1,"Comedy, Supernatural",Shounen
Huyao Xiao Hongniang,Ona,Manga,13,Finished Airing,PG-13 - TEENS 13 OR OLDER,7.14,11385.0,3743,3629,44664,170,-1,Unknown,0,0,"Comedy, Romance, Supernatural",
Neppuu Kairiku Bushi Road,Tv Special,Mixed Media,1,Finished Airing,R - 17+ (VIOLENCE & PROFANITY),7.14,18949.0,3785,3336,51953,169,-1,Unknown,0,0,"Action, Fantasy, Sci-Fi",
Kiratto Pri☆chan,Tv,Game,51,Finished Airing,PG - CHILDREN,7.14,1758.0,3776,7997,6929,48,2018,Spring,1,1,Slice of Life,
One Piece: Glorious Island,Ona,Manga,2,Finished Airing,PG-13 - TEENS 13 OR OLDER,7.14,15513.0,3792,4266,32362,15,-1,Unknown,0,0,"Action, Adventure, Fantasy",Shounen
K: Seven Stories Movie 3 - Side:Green - Uwagaki Sekai,Movie,Manga,1,Finished Airing,PG-13 - TEENS 13 OR OLDER,7.14,6500.0,3770,5027,22204,19,-1,Unknown,0,0,Action,
Diamond Fusion,Music,Game,1,Finished Airing,G - ALL AGES,7.14,1380.0,99999,10831,2950,9,-1,Unknown,0,0,,
Zhu Tian Ji,Ona,Manga,26,Finished Airing,PG-13 - TEENS 13 OR OLDER,7.14,811.0,3771,12048,2065,24,-1,Unknown,0,0,"Action, Adventure, Fantasy",
Kyonyuu Elf Oyako Saimin,Ova,Visual Novel,2,Finished Airing,RX - HENTAI,7.14,4186.0,99999,7082,9439,65,-1,Unknown,0,0,Hentai,
Bishoujo Senshi Sailor Moon Crystal,Ona,Manga,26,Finished Airing,PG-13 - TEENS 13 OR OLDER,7.14,69157.0,3727,1641,154708,1282,-1,Unknown,0,0,Romance,Shoujo
Sora no Method: Mou Hitotsu no Negai,Ona,Original,1,Finished Airing,PG-13 - TEENS 13 OR OLDER,7.14,1847.0,3757,8615,5817,5,-1,Unknown,0,0,"Comedy, Fantasy",
To LOVE-Ru: Multiplication - Mae kara Ushiro kara,Ova,Manga,1,Finished Airing,R+ - MILD NUDITY,7.14,22716.0,3761,3339,51802,93,-1,Unknown,0,0,"Comedy, Romance, Sci-Fi, Ecchi",Shounen
Higurashi no Naku Koro ni Kai Specials,Special,Visual Novel,24,Finished Airing,PG-13 - TEENS 13 OR OLDER,7.14,20752.0,3739,3364,51369,124,-1,Unknown,0,0,Comedy,
Vampire in the Garden,Ona,Original,5,Finished Airing,R - 17+ (VIOLENCE & PROFANITY),7.14,36604.0,3764,2548,83746,579,-1,Unknown,0,0,"Action, Fantasy",
PriPara Movie: Mi~nna de Kagayake! Kirarin☆Star Live!,Movie,Game,1,Finished Airing,PG - CHILDREN,7.14,687.0,3793,11655,2312,2,-1,Unknown,0,0,Slice of Life,
"Ore no Nounai Sentakushi ga, Gakuen Love Comedy wo Zenryoku de Jama Shiteiru OVA",Ova,Light Novel,1,Finished Airing,PG-13 - TEENS 13 OR OLDER,7.14,39165.0,3789,2735,74570,54,-1,Unknown,0,0,"Comedy, Romance",
Mayonaka no Occult Koumuin: Hitoribocchi no Kyuuketsuki/Sakura no Mori no Mankai no Shita,Ova,Manga,2,Finished Airing,PG-13 - TEENS 13 OR OLDER,7.14,4001.0,3786,6766,10468,3,-1,Unknown,0,0,"Mystery, Supernatural",Shoujo
Tonkatsu DJ Agetarou,Tv,Manga,12,Finished Airing,PG-13 - TEENS 13 OR OLDER,7.14,6888.0,3762,5808,15322,106,2016,Spring,1,1,Comedy,Shounen
Show by Rock!! Stars!!,Tv,Game,12,Finished Airing,PG-13 - TEENS 13 OR OLDER,7.14,3862.0,3751,6085,13581,50,2021,Winter,1,1,"Comedy, Fantasy",
Ze Tian Ji 5th Season,Ona,Novel,12,Finished Airing,PG-13 - TEENS 13 OR OLDER,7.14,896.0,3770,11291,2576,2,-1,Unknown,0,0,"Action, Adventure, Fantasy",
Fate/Grand Order: Zettai Majuu Sensen Babylonia - Initium Iter,Special,Game,1,Finished Airing,PG-13 - TEENS 13 OR OLDER,7.14,41779.0,3736,2731,74679,66,-1,Unknown,0,0,"Action, Fantasy",
Shippuu! Iron Leaguer,Tv,Original,52,Finished Airing,PG-13 - TEENS 13 OR OLDER,7.14,771.0,3750,11991,2096,18,1993,Spring,1,1,"Sci-Fi, Sports",
Dazzling White Town,Music,Original,1,Finished Airing,PG-13 - TEENS 13 OR OLDER,7.14,1045.0,99999,11801,2217,3,-1,Unknown,0,0,,
My Little Goat,Movie,Original,1,Finished Airing,PG-13 - TEENS 13 OR OLDER,7.14,1314.0,3784,11726,2260,4,-1,Unknown,0,0,"Drama, Horror",
One Piece Recap,Ova,Manga,1,Finished Airing,PG-13 - TEENS 13 OR OLDER,7.14,9572.0,3788,4932,23275,17,-1,Unknown,0,0,"Action, Adventure, Fantasy",Shounen
Anyamal Tantei Kiruminzoo,Tv,Original,50,Finished Airing,G - ALL AGES,7.14,2565.0,3726,6966,9835,65,2009,Fall,1,1,Comedy,
Nils no Fushigi na Tabi,Tv,Novel,52,Finished Airing,G - ALL AGES,7.14,3943.0,3786,7594,7868,32,1980,Winter,1,1,"Adventure, Fantasy",Kids
Shin Captain Tsubasa,Ova,Manga,13,Finished Airing,G - ALL AGES,7.14,7744.0,3750,6052,13714,18,-1,Unknown,0,0,Sports,Shounen
Yu☆Gi☆Oh! Movie: Chou Yuugou! Toki wo Koeta Kizuna,Movie,Manga,1,Finished Airing,PG-13 - TEENS 13 OR OLDER,7.14,31789.0,3767,3352,51566,87,-1,Unknown,0,0,Adventure,Shounen
Hayate no Gotoku! Heaven Is a Place on Earth,Movie,Manga,1,Finished Airing,PG-13 - TEENS 13 OR OLDER,7.14,18431.0,3738,3936,38312,30,-1,Unknown,0,0,Comedy,Shounen
Saint Seiya Recap,Tv Special,Manga,1,Finished Airing,PG-13 - TEENS 13 OR OLDER,7.14,3137.0,3744,7947,7016,11,-1,Unknown,0,0,"Adventure, Fantasy, Sci-Fi",Shounen
Chuunibyou demo Koi ga Shitai! Ren Specials,Special,Light Novel,7,Finished Airing,PG-13 - TEENS 13 OR OLDER,7.14,34839.0,3731,2773,73125,45,-1,Unknown,0,0,Comedy,
Terra Formars: Bugs 2-hen,Ova,Manga,2,Finished Airing,R - 17+ (VIOLENCE & PROFANITY),7.14,20415.0,3758,3965,37790,17,-1,Unknown,0,0,"Action, Horror, Sci-Fi, Suspense",Seinen
Shi Ye Miao Yin,Ona,Manga,11,Finished Airing,PG-13 - TEENS 13 OR OLDER,7.14,348.0,3747,12888,1582,7,-1,Unknown,0,0,"Adventure, Fantasy, Supernatural",
Holy Knight Light,Ona,Game,1,Finished Airing,PG-13 - TEENS 13 OR OLDER,7.14,2925.0,3743,8760,5576,17,-1,Unknown,0,0,"Action, Fantasy",
Love Stage!!,Tv,Manga,10,Finished Airing,PG-13 - TEENS 13 OR OLDER,7.14,150536.0,3777,973,271669,1643,2014,Summer,1,1,"Boys Love, Comedy",
Shakugan no Shana: Koi to Onsen no Kougai Gakushuu!,Ova,Light Novel,1,Finished Airing,PG-13 - TEENS 13 OR OLDER,7.14,17913.0,3749,4071,35722,20,-1,Unknown,0,0,"Comedy, Fantasy, Romance, Ecchi",
Shuangsheng Lingtan,Ona,Manga,20,Finished Airing,R - 17+ (VIOLENCE & PROFANITY),7.14,2969.0,3755,5896,14737,31,-1,Unknown,0,0,Mystery,
Burn the Witch,Ona,Manga,3,Finished Airing,PG-13 - TEENS 13 OR OLDER,7.14,129365.0,3728,979,270802,716,-1,Unknown,0,0,"Action, Fantasy",Shounen
"Sentouin, Haken shimasu!",Tv,Light Novel,12,Finished Airing,PG-13 - TEENS 13 OR OLDER,7.14,189964.0,3747,626,405850,2062,2021,Spring,1,1,"Action, Comedy, Fantasy",
Masuda Kousuke Gekijou: Gag Manga Biyori,Tv,Manga,12,Finished Airing,PG-13 - TEENS 13 OR OLDER,7.14,3657.0,3786,6819,10326,62,2005,Winter,1,1,Comedy,Shounen
Mahou Senshi Louie,Tv,Light Novel,24,Finished Airing,PG-13 - TEENS 13 OR OLDER,7.14,9862.0,3783,4841,24382,91,2001,Spring,1,1,"Action, Adventure, Comedy, Fantasy",
Fairy Tail x Rave,Ova,Manga,1,Finished Airing,PG-13 - TEENS 13 OR OLDER,7.14,69100.0,3737,1890,129095,235,-1,Unknown,0,0,"Action, Adventure, Fantasy",Shounen
Uta no☆Prince-sama♪ Movie: Maji Love ST☆RISH Tours,Movie,Visual Novel,1,Finished Airing,PG-13 - TEENS 13 OR OLDER,7.14,759.0,3763,8675,5742,39,-1,Unknown,0,0,,Josei
Love Hina Final Selection,Ova,Manga,1,Finished Airing,PG-13 - TEENS 13 OR OLDER,7.14,15690.0,3776,4214,33385,27,-1,Unknown,0,0,"Comedy, Romance, Ecchi",Shounen
Obey Me!,Ona,Game,12,Finished Airing,PG-13 - TEENS 13 OR OLDER,7.14,16059.0,3790,3500,47574,826,-1,Unknown,0,0,"Comedy, Fantasy",
Slayers Premium,Movie,Light Novel,1,Finished Airing,PG-13 - TEENS 13 OR OLDER,7.14,10166.0,3753,5154,20884,8,-1,Unknown,0,0,"Action, Adventure, Comedy, Fantasy",
Kingyo Chuuihou!,Tv,Manga,54,Finished Airing,PG - CHILDREN,7.14,1298.0,3772,9487,4425,23,1991,Winter,1,1,Comedy,Shoujo
Wu Shang Shen Di 2nd Season,Ona,Novel,520,Currently Airing,PG-13 - TEENS 13 OR OLDER,7.14,876.0,3765,10450,3283,18,-1,Unknown,0,0,"Action, Adventure, Fantasy, Supernatural",
"Gaikotsu Kishi-sama, Tadaima Isekai e Odekakechuu",Tv,Light Novel,12,Finished Airing,R - 17+ (VIOLENCE & PROFANITY),7.14,176707.0,3737,743,350070,1800,2022,Spring,1,1,"Action, Adventure, Fantasy",
Hidamari no Ki,Tv,Manga,25,Finished Airing,R+ - MILD NUDITY,7.14,1068.0,3740,8797,5515,23,2000,Spring,1,1,"Action, Award Winning, Drama",Seinen
Doraemon Movie 09: Nobita no Parallel Saiyuuki,Movie,Unknown,1,Finished Airing,PG - CHILDREN,7.14,3600.0,3734,8288,6354,2,-1,Unknown,0,0,"Adventure, Fantasy, Sci-Fi","Kids, Shounen"
Mahou no Stage Fancy Lala,Tv,Original,26,Finished Airing,G - ALL AGES,7.14,4657.0,3779,6093,13521,63,1998,Spring,1,1,"Comedy, Drama, Romance",
Rockman.EXE Axess,Tv,Game,51,Finished Airing,PG - CHILDREN,7.14,8955.0,3794,5395,18641,48,2003,Fall,1,1,"Action, Adventure, Comedy, Sci-Fi",
Dragon Ball Movie 4: Saikyou e no Michi,Movie,Manga,1,Finished Airing,PG-13 - TEENS 13 OR OLDER,7.14,35332.0,3737,2921,66411,53,-1,Unknown,0,0,"Action, Adventure, Comedy, Fantasy, Sci-Fi",Shounen
Tamayura,Ova,Original,4,Finished Airing,G - ALL AGES,7.14,16414.0,3757,3522,47113,132,-1,Unknown,0,0,Slice of Life,
Date A Live,Tv,Light Novel,12,Finished Airing,R - 17+ (VIOLENCE & PROFANITY),7.14,609696.0,3732,156,1086994,10141,2013,Spring,1,1,"Action, Fantasy, Romance, Sci-Fi",
Blood-C: The Last Dark,Movie,Original,1,Finished Airing,R+ - MILD NUDITY,7.14,52810.0,3728,2145,108864,244,-1,Unknown,0,0,"Action, Horror, Supernatural",
Jun You Yun,Ona,Novel,24,Finished Airing,PG-13 - TEENS 13 OR OLDER,7.14,550.0,3769,12089,2041,21,-1,Unknown,0,0,"Action, Adventure, Fantasy",
Long She Yanyi,Ona,Web Novel,16,Finished Airing,PG-13 - TEENS 13 OR OLDER,7.14,402.0,3777,13046,1505,11,-1,Unknown,0,0,Action,
Uta no☆Prince-sama♪ Maji Love Legend Star,Tv,Visual Novel,13,Finished Airing,PG-13 - TEENS 13 OR OLDER,7.14,15974.0,3764,3667,43895,218,2016,Fall,1,1,"Comedy, Romance",Josei
Re: Cutie Honey,Ova,Manga,3,Finished Airing,R+ - MILD NUDITY,7.14,12323.0,3796,4244,32802,201,-1,Unknown,0,0,"Action, Comedy, Girls Love, Sci-Fi, Ecchi",
Pokemon Advanced Generation,Tv,Game,192,Finished Airing,PG - CHILDREN,7.14,121787.0,3790,1331,197920,297,2002,Fall,1,1,"Action, Adventure, Comedy, Fantasy",Kids
Kaze no Youjinbou,Tv,Original,25,Finished Airing,R - 17+ (VIOLENCE & PROFANITY),7.14,3557.0,3774,5623,16693,45,2001,Fall,1,1,"Action, Drama, Mystery",
Tenchi Muyou! GXP,Tv,Original,26,Finished Airing,PG-13 - TEENS 13 OR OLDER,7.14,15329.0,3761,4226,33121,140,2002,Spring,1,1,"Action, Comedy, Sci-Fi",
Sabikui Bisco,Tv,Light Novel,12,Finished Airing,PG-13 - TEENS 13 OR OLDER,7.14,108569.0,3746,988,269127,1446,2022,Winter,1,1,"Action, Adventure, Fantasy, Sci-Fi",
Yuanshen: Ci Shi Zhi Yi,Ona,Game,1,Finished Airing,PG-13 - TEENS 13 OR OLDER,7.13,557.0,3846,13925,1186,1,-1,Unknown,0,0,"Action, Drama, Fantasy",
Re:Zero kara Hajimeru Break Time 3rd Season,Special,Light Novel,16,Finished Airing,PG-13 - TEENS 13 OR OLDER,7.13,2119.0,3818,7200,9040,46,-1,Unknown,0,0,Comedy,
Mattaku Saikin no Tantei to Kitara,Tv,Manga,12,Currently Airing,UNKNOWN,7.13,1622.0,3808,5416,18404,34,2025,Summer,1,1,"Comedy, Mystery",Seinen
"Hana wa Saku, Shura no Gotoku",Tv,Manga,12,Finished Airing,PG-13 - TEENS 13 OR OLDER,7.13,10443.0,3833,4006,36777,94,2025,Winter,1,1,Drama,Seinen
Paripi Koumei: Road to Summer Sonia,Movie,Web Manga,1,Finished Airing,PG-13 - TEENS 13 OR OLDER,7.13,1600.0,3877,5863,14915,21,-1,Unknown,0,0,Comedy,
Ple Ple Pleiades × Kagejitsu!,Ona,Original,1,Finished Airing,PG-13 - TEENS 13 OR OLDER,7.13,4173.0,3815,7075,9452,11,-1,Unknown,0,0,"Comedy, Fantasy",
"Kekkon suru tte, Hontou desu ka",Tv,Manga,12,Finished Airing,PG-13 - TEENS 13 OR OLDER,7.13,43575.0,3800,2165,107444,333,2024,Fall,1,1,Romance,Seinen
Akuyaku Reijou Level 99: Watashi wa Ura-Boss desu ga Maou dewa Arimasen,Tv,Light Novel,12,Finished Airing,PG-13 - TEENS 13 OR OLDER,7.13,96370.0,3818,1410,185436,877,2024,Winter,1,1,Fantasy,
Bokurano,Music,Original,1,Finished Airing,PG-13 - TEENS 13 OR OLDER,7.13,1691.0,99999,10651,3111,10,-1,Unknown,0,0,,
Rebellion,Music,Original,1,Finished Airing,PG-13 - TEENS 13 OR OLDER,7.13,528.0,99999,14986,892,0,-1,Unknown,0,0,Action,
Mikakunin de Shinkoukei: Kamoniku tte Midori-ppoi Aji ga Suru no ne.,Ova,4-Koma Manga,1,Finished Airing,PG-13 - TEENS 13 OR OLDER,7.13,28505.0,3805,3247,54216,22,-1,Unknown,0,0,"Comedy, Romance",
Dorei Usagi to Anthony The Animation,Ova,Manga,1,Finished Airing,RX - HENTAI,7.13,4416.0,99999,6726,10608,54,-1,Unknown,0,0,Hentai,
Enbo,Ova,Manga,6,Finished Airing,RX - HENTAI,7.13,10739.0,99999,4974,22883,310,-1,Unknown,0,0,"Drama, Hentai",
"Sora no Iro, Mizu no Iro",Ova,Visual Novel,2,Finished Airing,RX - HENTAI,7.13,7727.0,99999,5461,17991,137,-1,Unknown,0,0,Hentai,
Ookiku Furikabutte: Natsu no Scorebook,Ova,Manga,2,Finished Airing,G - ALL AGES,7.13,1213.0,3812,9568,4330,4,-1,Unknown,0,0,"Comedy, Sports",
SSSS.Gridman,Tv,Original,12,Finished Airing,PG-13 - TEENS 13 OR OLDER,7.13,135672.0,3837,844,316018,1401,2018,Fall,1,1,"Action, Award Winning, Sci-Fi",
Super Danganronpa 2.5: Komaeda Nagito to Sekai no Hakaisha,Ova,Visual Novel,1,Finished Airing,R - 17+ (VIOLENCE & PROFANITY),7.13,57684.0,3839,2140,109311,408,-1,Unknown,0,0,"Action, Horror, Mystery",
My Song,Music,Original,1,Finished Airing,G - ALL AGES,7.13,718.0,99999,13611,1284,2,-1,Unknown,0,0,,
Aikatsu Friends!: Kagayaki no Jewel,Tv,Game,26,Finished Airing,PG - CHILDREN,7.13,2522.0,3817,8203,6509,22,2019,Spring,1,1,Slice of Life,
Shingeki no Bahamut: Genesis - Short Story,Ona,Game,2,Finished Airing,PG-13 - TEENS 13 OR OLDER,7.13,11296.0,3834,4458,29559,12,-1,Unknown,0,0,"Action, Adventure, Fantasy",
Mouretsu Pirates,Tv,Light Novel,26,Finished Airing,PG-13 - TEENS 13 OR OLDER,7.13,28327.0,3809,2679,77013,295,2012,Winter,1,1,"Award Winning, Sci-Fi",
Kuromukuro,Tv,Original,26,Finished Airing,R - 17+ (VIOLENCE & PROFANITY),7.13,62975.0,3803,1681,149674,439,2016,Spring,1,1,"Action, Sci-Fi",
